contrast,decile,gamma_lo,gamma_hi,ΔEπ,ΔCE,ΔRP,−ΔRP (insurance gain)
0.75→0.80,0,0.043586895527102376,0.7291002503536992,0.0004895851378767625,0.0005199412697340712,-3.035613185730874e-05,3.035613185730874e-05
0.75→0.80,1,0.7928850865257708,1.555700830291955,0.0004620361912619034,0.0005602737503001671,-9.823755903826375e-05,9.823755903826375e-05
0.75→0.80,2,1.595229302469695,2.224260286227815,0.0004488651027167569,0.000623064692039608,-0.00017419958932285103,0.00017419958932285103
0.75→0.80,3,2.236253245102998,3.0928420525363034,0.00043863791945002124,0.000708824103934036,-0.0002701861844840147,0.0002701861844840147
0.75→0.80,4,3.170671787059095,4.429461795465706,0.00042999147619956097,0.0007969290255721782,-0.00036693754937261724,0.00036693754937261724
0.75→0.80,5,4.618521535518926,5.3780704414986324,0.00040324391894059307,0.0008928927602785003,-0.0004896488413379072,0.0004896488413379072
0.75→0.80,6,5.592424588525224,6.702962489205641,0.00037597201282474997,0.0009716440679798333,-0.0005956720551550831,0.0005956720551550831
0.75→0.80,7,6.9148830910702745,7.725615525460525,0.0003493142239545117,0.0011065739047318264,-0.0007572596807773145,0.0007572596807773145
0.75→0.80,8,7.880322274392263,8.728276791802523,0.00033688979998022686,0.0012175731018410597,-0.0008806833018608328,0.0008806833018608328
0.75→0.80,9,8.846143734936367,9.99486923784836,0.0003241597654167068,0.0013790492887578497,-0.0010548895233411428,0.0010548895233411428
0.80→0.85,0,0.043586895527102376,0.7291002503536992,0.0011846409228681188,0.0012378133345452968,-5.317241167717799e-05,5.317241167717799e-05
0.80→0.85,1,0.7928850865257708,1.555700830291955,0.0012278511220363986,0.0014162039182952473,-0.00018835279625884852,0.00018835279625884852
0.80→0.85,2,1.595229302469695,2.224260286227815,0.0012240118931484676,0.0015530420425478155,-0.0003290301493993479,0.0003290301493993479
0.80→0.85,3,2.236253245102998,3.0928420525363034,0.0011925106307997643,0.0017029996245639624,-0.0005104889937641982,0.0005104889937641982
0.80→0.85,4,3.170671787059095,4.429461795465706,0.0011564382518834157,0.0018931026601026746,-0.000736664408219259,0.000736664408219259
0.80→0.85,5,4.618521535518926,5.3780704414986324,0.0011065774202550706,0.002183917392017779,-0.0010773399717627084,0.0010773399717627084
0.80→0.85,6,5.592424588525224,6.702962489205641,0.001053939528482971,0.0023904173257605446,-0.0013364777972775734,0.0013364777972775734
0.80→0.85,7,6.9148830910702745,7.725615525460525,0.0009869579455486755,0.002561319937929072,-0.0015743619923803969,0.0015743619923803969
0.80→0.85,8,7.880322274392263,8.728276791802523,0.0009359810951479791,0.0026617129556991007,-0.0017257318605511216,0.0017257318605511216
0.80→0.85,9,8.846143734936367,9.99486923784836,0.000872688445479689,0.0028253034794598064,-0.0019526150339801175,0.0019526150339801175
0.85→0.90,0,0.043586895527102376,0.7291002503536992,0.0028461340319321424,0.0029023449332491826,-5.621090131703963e-05,5.621090131703963e-05
0.85→0.90,1,0.7928850865257708,1.555700830291955,0.00284766036655572,0.003040436511427356,-0.00019277614487163598,0.00019277614487163598
0.85→0.90,2,1.595229302469695,2.224260286227815,0.0028371230023057675,0.0031846090007558413,-0.0003474859984500739,0.0003474859984500739
0.85→0.90,3,2.236253245102998,3.0928420525363034,0.0028176595712746393,0.003382292765534204,-0.0005646331942595646,0.0005646331942595646
0.85→0.90,4,3.170671787059095,4.429461795465706,0.0027915455040086233,0.0036208101655441824,-0.0008292646615355592,0.0008292646615355592
0.85→0.90,5,4.618521535518926,5.3780704414986324,0.0027304064991913414,0.003986583763076597,-0.0012561772638852557,0.0012561772638852557
0.85→0.90,6,5.592424588525224,6.702962489205641,0.0026590057072034294,0.004324072921294165,-0.0016650672140907357,0.0016650672140907357
0.85→0.90,7,6.9148830910702745,7.725615525460525,0.002546028017690594,0.004718808110819956,-0.0021727800931293628,0.0021727800931293628
0.85→0.90,8,7.880322274392263,8.728276791802523,0.002460814678372198,0.004970652160850444,-0.0025098374824782466,0.0025098374824782466
0.85→0.90,9,8.846143734936367,9.99486923784836,0.0023509681150140783,0.005246940586325981,-0.002895972471311902,0.002895972471311902
0.90→0.95,0,0.043586895527102376,0.7291002503536992,0.007270010800101693,0.007314287552796867,-4.427675269517477e-05,4.427675269517477e-05
0.90→0.95,1,0.7928850865257708,1.555700830291955,0.007226394917595562,0.007389830735970104,-0.00016343581837454266,0.00016343581837454266
0.90→0.95,2,1.595229302469695,2.224260286227815,0.007175914585486736,0.0074789063268181685,-0.00030299174133143234,0.00030299174133143234
0.90→0.95,3,2.236253245102998,3.0928420525363034,0.007146587580259313,0.007633129184153521,-0.0004865416038942077,0.0004865416038942077
0.90→0.95,4,3.170671787059095,4.429461795465706,0.007106345513880666,0.00779232353773901,-0.0006859780238583435,0.0006859780238583435
0.90→0.95,5,4.618521535518926,5.3780704414986324,0.006995393514017686,0.008011965839549535,-0.0010165723255318492,0.0010165723255318492
0.90→0.95,6,5.592424588525224,6.702962489205641,0.006860093974480515,0.008230208810449,-0.001370114835968486,0.001370114835968486
0.90→0.95,7,6.9148830910702745,7.725615525460525,0.006667496484329666,0.008530422331520978,-0.001862925847191312,0.001862925847191312
0.90→0.95,8,7.880322274392263,8.728276791802523,0.006512464529848591,0.008752565506971035,-0.0022401009771224447,0.0022401009771224447
0.90→0.95,9,8.846143734936367,9.99486923784836,0.006305799406914508,0.009040315371751977,-0.002734515964837469,0.002734515964837469
