mu1,mu2,gap,contrast,share_new_adopters,mean_gain_income_new_adopters,N,R,store_threshold
0.5,0.5,0.0,0.80→0.85,0.04684,0.004311933094505908,100,500,0.01
0.5,0.5,0.0,0.80→0.90,0.17176,0.015661099098065675,100,500,0.01
0.5,0.5,0.0,0.80→0.95,0.3206,0.02947274753445281,100,500,0.01
0.55,0.55,0.0,0.80→0.85,0.046,-0.0009311874342987107,100,500,0.01
0.55,0.55,0.0,0.80→0.90,0.19218,0.012424725857022183,100,500,0.01
0.55,0.55,0.0,0.80→0.95,0.39716,0.02753628298474808,100,500,0.01
0.6000000000000001,0.6000000000000001,0.0,0.80→0.85,0.02662,0.017477113626230594,100,500,0.01
0.6000000000000001,0.6000000000000001,0.0,0.80→0.90,0.13058,0.02299914825543942,100,500,0.01
0.6000000000000001,0.6000000000000001,0.0,0.80→0.95,0.35958,0.027133399119968933,100,500,0.01
0.6500000000000001,0.6500000000000001,0.0,0.80→0.85,0.01532,-0.0076433431224276075,100,500,0.01
0.6500000000000001,0.6500000000000001,0.0,0.80→0.90,0.13412,0.0023819955283301522,100,500,0.01
0.6500000000000001,0.6500000000000001,0.0,0.80→0.95,0.30348,0.018305929744862347,100,500,0.01
0.7000000000000002,0.7000000000000002,0.0,0.80→0.85,0.00796,-0.0021886018661600136,100,500,0.01
0.7000000000000002,0.7000000000000002,0.0,0.80→0.90,0.116,0.0014303005064766057,100,500,0.01
0.7000000000000002,0.7000000000000002,0.0,0.80→0.95,0.39756,0.011529044482666327,100,500,0.01
0.7500000000000002,0.7500000000000002,0.0,0.80→0.85,0.0,0.0,100,500,0.01
0.7500000000000002,0.7500000000000002,0.0,0.80→0.90,0.0778,0.003989554224572348,100,500,0.01
0.7500000000000002,0.7500000000000002,0.0,0.80→0.95,0.33164,0.013979809282771255,100,500,0.01
0.8000000000000003,0.8000000000000003,0.0,0.80→0.85,0.0,0.0,100,500,0.01
0.8000000000000003,0.8000000000000003,0.0,0.80→0.90,0.0702,0.0004549673256208034,100,500,0.01
0.8000000000000003,0.8000000000000003,0.0,0.80→0.95,0.385,0.0118308059392688,100,500,0.01
0.8500000000000003,0.8500000000000003,0.0,0.80→0.85,0.0,0.0,100,500,0.01
0.8500000000000003,0.8500000000000003,0.0,0.80→0.90,0.0,0.0,100,500,0.01
0.8500000000000003,0.8500000000000003,0.0,0.80→0.95,0.42474,0.007055690682688507,100,500,0.01
0.9000000000000004,0.9000000000000004,0.0,0.80→0.85,0.0,0.0,100,500,0.01
0.9000000000000004,0.9000000000000004,0.0,0.80→0.90,0.0,0.0,100,500,0.01
0.9000000000000004,0.9000000000000004,0.0,0.80→0.95,0.42126,0.00015832446862569226,100,500,0.01
